SCSSP1,SCSSP2,SCSSP3,SCSSP4,SCSSP5,SCSSP6,SCSSP7,SQSP1,SQSP2,SQSP3,SQSP4,SQSP5,SQSP6,SQSP7,SSSP1,SSSP2,SSSP3,SSSP4,SSSP5,SSSP6,SSSP7,VCSSP1,VCSSP2,VCSSP3,VCSSP4,VCSSP5,VCSSP6,VCSSP7,VQSP1,VQSP2,VQSP3,VQSP4,VQSP5,VQSP6,VQSP7,VSSSP1,VSSSP2,VSSSP3,VSSSP4,VSSSP5,VSSSP6,VSSSP7,SCSTotal,SQTotal,SSSTotal,VCSTotal,VQTotal,VSSTotal,Order,VAR00001,VAR00002
1,1,3,3,2,4,6,3,2,2,0,3,5,3,1,2,4,5,4,8,5,0,2,1,4,6,6,7,0,2,4,6,5,6,2,0,0,2,1,3,2,2,20,18,29,26,25,10,Spatial,-9,16
1,1,3,2,1,0,2,0,0,3,2,5,7,3,4,4,4,4,6,6,3,2,3,0,8,10,11,5,1,2,0,4,7,11,4,2,3,2,7,8,8,4,10,20,31,39,29,34,Spatial,-21,5
9,11,12,11,12,9,4,11,8,13,13,13,11,8,9,13,15,13,12,14,5,6,6,10,12,10,8,8,2,7,7,9,10,9,10,2,5,9,12,11,11,9,68,77,81,60,54,59,Spatial,-13,1
1,4,5,7,6,6,2,4,6,6,6,9,7,5,2,2,6,5,4,8,7,1,7,8,4,9,8,6,1,1,3,3,3,4,4,1,2,6,5,5,7,6,31,43,34,43,19,32,Verbal,-3,11
3,5,8,8,8,8,4,5,8,7,7,8,5,2,7,9,12,10,9,9,7,3,6,7,8,8,11,9,1,2,5,5,7,6,5,1,1,2,4,9,8,7,44,42,63,52,31,32,Spatial,-19,20
7,5,6,10,10,8,4,5,11,10,13,11,12,9,7,8,9,11,10,9,4,2,4,10,7,9,12,13,1,3,4,4,7,8,6,1,2,3,5,6,7,10,50,71,58,57,33,34,Verbal,-8,23
4,6,7,8,8,7,2,4,9,11,11,8,10,9,1,7,5,9,6,5,3,2,2,0,2,3,1,0,2,1,1,2,3,1,0,1,1,2,2,3,2,2,42,62,36,10,10,13,Spatial,6,-3
1,1,1,1,4,7,7,3,3,2,3,2,4,4,3,4,5,3,6,5,3,0,0,2,1,4,4,4,1,0,3,3,5,2,3,3,0,4,1,2,3,3,22,21,29,15,17,16,Verbal,-7,-1
1,1,3,4,5,2,3,6,6,7,8,8,5,2,2,3,4,4,4,2,1,3,2,6,6,6,6,6,0,2,3,7,7,8,6,0,1,5,8,8,9,5,19,42,20,35,33,36,Spatial,-1,-1
2,3,2,3,2,3,0,0,1,1,3,5,3,3,0,0,1,0,4,2,1,0,2,3,7,6,6,3,0,1,0,1,2,4,1,0,0,1,3,4,4,3,15,16,8,27,9,15,Verbal,7,12
10,11,5,7,5,7,4,6,6,7,6,7,10,7,10,10,12,8,7,7,2,1,3,5,6,7,5,4,0,0,5,7,8,7,6,2,4,6,4,7,6,6,49,49,56,31,33,35,Spatial,-7,-4
2,3,3,3,2,2,1,1,2,2,5,3,2,2,2,5,3,2,3,2,1,3,4,7,8,7,7,6,0,1,3,4,3,1,1,3,5,6,4,3,3,1,16,17,18,42,13,25,Verbal,-2,17
4,4,4,1,3,3,3,3,4,3,2,2,1,3,3,1,1,6,5,5,3,0,0,1,2,2,2,2,1,1,0,2,2,2,3,2,1,5,4,4,6,6,22,18,24,9,11,28,Spatial,-2,-19
4,6,7,8,9,10,9,8,9,7,9,10,8,8,6,7,7,8,8,10,6,3,6,5,6,11,14,12,4,6,8,6,11,11,11,7,9,7,11,14,9,10,53,59,52,57,57,67,Verbal,1,-10
10,8,9,10,10,10,8,3,6,4,5,3,5,4,4,4,11,8,9,10,7,0,2,4,4,6,7,6,1,0,3,6,7,8,5,0,1,1,1,3,2,4,65,30,53,29,30,12,Spatial,12,17
