id,sp1,sp2,sp3,sp4,sp5,sp6,sp7,task,sound,total,order
1,3,2,2,0,3,5,3,spatial,quiet,18,Spatial
2,0,0,3,2,5,7,3,spatial,quiet,20,Spatial
3,11,8,13,13,13,11,8,spatial,quiet,77,Spatial
4,4,6,6,6,9,7,5,spatial,quiet,43,Verbal
5,5,8,7,7,8,5,2,spatial,quiet,42,Spatial
6,5,11,10,13,11,12,9,spatial,quiet,71,Verbal
7,4,9,11,11,8,10,9,spatial,quiet,62,Spatial
8,3,3,2,3,2,4,4,spatial,quiet,21,Verbal
9,6,6,7,8,8,5,2,spatial,quiet,42,Spatial
10,0,1,1,3,5,3,3,spatial,quiet,16,Verbal
11,6,6,7,6,7,10,7,spatial,quiet,49,Spatial
12,1,2,2,5,3,2,2,spatial,quiet,17,Verbal
13,3,4,3,2,2,1,3,spatial,quiet,18,Spatial
14,8,9,7,9,10,8,8,spatial,quiet,59,Verbal
15,3,6,4,5,3,5,4,spatial,quiet,30,Spatial
16,7,6,7,6,10,7,7,spatial,quiet,50,Verbal
17,3,8,5,8,9,6,6,spatial,quiet,45,Spatial
18,2,3,5,4,6,4,4,spatial,quiet,28,Verbal
19,9,11,9,10,9,12,10,spatial,quiet,70,Spatial
20,4,7,5,7,6,7,1,spatial,quiet,37,Spatial
21,2,2,3,5,12,13,7,spatial,quiet,44,Verbal
22,6,10,8,11,12,9,5,spatial,quiet,61,Verbal
23,5,6,6,8,7,8,5,spatial,quiet,45,Spatial
24,10,8,12,11,15,15,13,spatial,quiet,84,Spatial
25,4,5,6,8,11,10,6,spatial,quiet,50,Verbal
26,5,7,7,9,10,4,2,spatial,quiet,44,Verbal
27,6,8,8,9,7,6,4,spatial,quiet,48,Verbal
28,2,4,3,5,7,4,0,spatial,quiet,25,Spatial
29,1,3,5,7,6,9,8,spatial,quiet,39,Verbal
30,4,4,4,1,5,5,4,spatial,quiet,27,Spatial
31,2,2,2,4,2,3,3,spatial,quiet,18,Verbal
32,2,3,5,6,6,8,7,spatial,quiet,37,Spatial
33,7,9,9,11,12,11,9,spatial,quiet,68,Spatial
34,7,8,10,11,8,9,5,spatial,quiet,58,Verbal
35,2,5,5,9,9,10,8,spatial,quiet,48,Spatial
36,4,3,9,9,10,13,11,spatial,quiet,59,Verbal
37,4,6,9,9,8,9,8,spatial,quiet,53,Spatial
38,2,3,7,5,8,9,6,spatial,quiet,40,Verbal
39,0,2,4,6,8,6,5,spatial,quiet,31,Verbal
40,2,5,8,8,9,12,7,spatial,quiet,51,Verbal
41,3,3,10,6,7,7,3,spatial,quiet,39,Spatial
42,5,7,8,9,9,9,9,spatial,quiet,56,Spatial
43,4,5,5,8,7,7,7,spatial,quiet,43,Verbal
44,7,8,10,12,13,9,10,spatial,quiet,69,Spatial
45,1,3,6,3,7,4,3,spatial,quiet,27,Verbal
46,7,11,14,14,13,15,7,spatial,quiet,81,Spatial
47,6,6,7,9,12,11,10,spatial,quiet,61,Verbal
48,4,4,4,5,7,7,3,spatial,quiet,34,Verbal
49,3,5,3,4,4,4,3,spatial,quiet,26,Spatial
50,0,0,2,1,1,1,1,spatial,quiet,6,Verbal
51,8,9,8,12,6,11,6,spatial,quiet,60,Spatial
52,6,8,9,10,11,12,12,spatial,quiet,68,Verbal
53,4,6,7,8,10,9,6,spatial,quiet,50,Verbal
54,9,12,15,14,14,15,13,spatial,quiet,92,Verbal
55,1,2,4,3,6,5,2,spatial,quiet,23,Spatial
