SCSSP1,SCSSP2,SCSSP3,SCSSP4,SCSSP5,SCSSP6,SCSSP7,SQSP1,SQSP2,SQSP3,SQSP4,SQSP5,SQSP6,SQSP7,SSSP1,SSSP2,SSSP3,SSSP4,SSSP5,SSSP6,SSSP7,VCSSP1,VCSSP2,VCSSP3,VCSSP4,VCSSP5,VCSSP6,VCSSP7,VQSP1,VQSP2,VQSP3,VQSP4,VQSP5,VQSP6,VQSP7,VSSSP1,VSSSP2,VSSSP3,VSSSP4,VSSSP5,VSSSP6,VSSSP7,SCSTotal,SQTotal,SSSTotal,VCSTotal,VQTotal,VSSTotal,TaskModality,CS1,CS2,CS3,CS4,CS5,CS6,CS7,Q1,Q2,Q3,Q4,Q5,Q6,Q7,SS1,SS2,SS3,SS4,SS5,SS6,SS7,TOTALCS,TOTALQ,TOTALSS
4,5,5,6,5,5,5,4,3,4,3,2,2,1,6,4,7,2,3,2,3,11,12,14,14,16,16,14,12,11,9,13,12,10,9,11,12,14,13,14,14,11,35,19,27,97,76,89,spatial,4,5,5,6,5,5,5,4,3,4,3,2,2,1,6,4,7,2,3,2,3,35,19,27
5,7,5,5,7,4,2,3,7,6,6,7,10,9,1,7,6,5,7,4,4,2,4,4,7,8,8,6,3,4,5,7,5,5,4,3,2,3,1,4,5,3,35,48,34,39,33,21,spatial,5,7,5,5,7,4,2,3,7,6,6,7,10,9,1,7,6,5,7,4,4,35,48,34
6,8,4,8,9,9,7,8,7,5,9,10,12,9,7,9,7,8,12,12,8,0,4,9,6,11,11,8,1,1,2,3,5,5,2,0,2,1,2,4,6,6,51,60,63,49,19,21,spatial,6,8,4,8,9,9,7,8,7,5,9,10,12,9,7,9,7,8,12,12,8,51,60,63
2,1,4,6,8,6,2,1,2,1,1,4,1,2,1,3,5,3,4,3,3,2,2,1,3,5,5,2,0,0,0,2,3,3,1,0,2,4,5,4,5,2,29,12,22,20,9,22,spatial,2,1,4,6,8,6,2,1,2,1,1,4,1,2,1,3,5,3,4,3,3,29,12,22
0,2,3,6,8,12,8,2,2,2,2,7,9,8,1,3,3,3,8,10,8,1,5,5,6,6,7,6,1,1,5,6,8,6,5,2,4,5,6,4,9,8,39,32,36,36,32,38,spatial,0,2,3,6,8,12,8,2,2,2,2,7,9,8,1,3,3,3,8,10,8,39,32,36
0,4,8,11,11,14,14,1,2,5,9,13,10,6,1,3,8,10,15,12,10,0,2,1,3,4,4,2,1,2,3,5,7,5,5,0,1,2,3,4,4,3,62,46,59,16,28,17,spatial,0,4,8,11,11,14,14,1,2,5,9,13,10,6,1,3,8,10,15,12,10,62,46,59
7,6,9,6,8,7,8,4,5,7,6,7,3,3,5,4,6,8,9,7,1,2,6,7,7,9,8,4,1,2,1,3,2,3,5,1,4,3,3,3,7,4,51,35,40,43,17,25,spatial,7,6,9,6,8,7,8,4,5,7,6,7,3,3,5,4,6,8,9,7,1,51,35,40
13,11,15,13,11,10,9,13,13,15,14,13,14,16,13,14,15,13,13,12,10,0,0,0,2,3,4,2,0,0,1,1,1,0,0,0,1,1,3,3,2,1,82,98,90,11,3,11,spatial,13,11,15,13,11,10,9,13,13,15,14,13,14,16,13,14,15,13,13,12,10,82,98,90
2,1,2,3,3,4,0,2,0,3,6,4,5,6,4,5,3,8,6,7,4,1,1,4,6,6,11,7,1,1,3,2,3,5,4,1,2,4,6,6,6,5,15,26,37,36,19,30,spatial,2,1,2,3,3,4,0,2,0,3,6,4,5,6,4,5,3,8,6,7,4,15,26,37
0,0,1,1,1,1,0,1,1,2,2,4,3,1,1,1,1,1,3,2,1,1,3,6,7,8,7,6,1,2,1,1,5,5,6,0,1,0,4,9,6,4,4,14,10,38,21,24,spatial,0,0,1,1,1,1,0,1,1,2,2,4,3,1,1,1,1,1,3,2,1,4,14,10
