id,sp1,sp2,sp3,sp4,sp5,sp6,sp7,task,sound,total
1,4,3,4,3,2,2,1,spatial,quiet,19
2,3,7,6,6,7,10,9,spatial,quiet,48
3,8,7,5,9,10,12,9,spatial,quiet,60
4,1,2,1,1,4,1,2,spatial,quiet,12
5,2,2,2,2,7,9,8,spatial,quiet,32
6,1,2,5,9,13,10,6,spatial,quiet,46
7,4,5,7,6,7,3,3,spatial,quiet,35
8,13,13,15,14,13,14,16,spatial,quiet,98
9,2,0,3,6,4,5,6,spatial,quiet,26
10,1,1,2,2,4,3,1,spatial,quiet,14
11,5,6,8,10,12,9,10,spatial,quiet,60
12,0,0,0,1,1,1,1,spatial,quiet,4
13,11,8,12,10,13,11,12,spatial,quiet,77
14,6,5,4,6,4,4,4,spatial,quiet,33
15,5,9,8,8,10,9,5,spatial,quiet,54
16,4,5,8,9,13,12,11,spatial,quiet,62
17,11,11,12,9,12,10,6,spatial,quiet,71
18,8,9,11,14,13,10,11,spatial,quiet,76
19,3,4,4,6,6,6,5,spatial,quiet,34
20,8,10,11,13,12,15,12,spatial,quiet,81
21,3,6,6,8,6,7,7,spatial,quiet,43
22,3,3,4,6,5,7,6,spatial,quiet,34
23,11,14,14,15,11,13,14,spatial,quiet,92
24,0,3,4,6,13,11,8,spatial,quiet,45
25,0,0,3,3,4,5,2,spatial,quiet,17
26,0,2,2,5,8,8,4,spatial,quiet,29
27,4,4,4,4,4,3,1,spatial,quiet,24
28,4,3,7,9,9,6,6,spatial,quiet,44
29,4,5,5,5,5,4,2,spatial,quiet,30
30,9,11,11,13,13,13,14,spatial,quiet,84
31,1,3,1,0,3,5,5,spatial,quiet,18
32,4,6,6,8,8,7,4,spatial,quiet,43
33,5,7,10,13,11,9,8,spatial,quiet,63
34,5,4,7,5,3,6,6,spatial,quiet,36
35,2,5,5,6,9,9,7,spatial,quiet,43
36,1,1,2,1,2,3,2,spatial,quiet,12
37,9,6,9,10,12,13,7,spatial,quiet,66
38,7,7,8,10,11,10,8,spatial,quiet,61
39,7,12,11,8,10,6,5,spatial,quiet,59
40,6,5,9,6,10,10,10,spatial,quiet,56
41,9,8,10,11,10,13,8,spatial,quiet,69
42,2,3,3,3,3,4,4,spatial,quiet,22
43,7,9,11,9,11,11,11,spatial,quiet,69
44,7,8,9,6,7,5,5,spatial,quiet,47
45,9,8,11,8,6,12,13,spatial,quiet,67
46,7,10,7,6,5,8,5,spatial,quiet,48
47,5,6,6,8,7,6,4,spatial,quiet,42
48,3,3,1,5,9,10,5,spatial,quiet,36
49,7,9,5,9,7,7,4,spatial,quiet,48
50,8,9,12,13,11,12,11,spatial,quiet,76
51,0,0,0,0,0,0,0,spatial,quiet,0
52,5,3,3,2,3,4,5,spatial,quiet,25
53,7,7,6,9,11,10,9,spatial,quiet,59
54,1,1,2,1,0,1,1,spatial,quiet,7
55,7,10,11,14,14,11,11,spatial,quiet,78
56,8,7,8,11,8,7,9,spatial,quiet,58
57,2,3,2,1,3,4,4,spatial,quiet,19
58,13,13,13,14,13,9,10,spatial,quiet,85
59,7,7,7,6,6,8,5,spatial,quiet,46
60,2,1,3,3,5,5,1,spatial,quiet,20
61,2,4,6,8,7,4,4,spatial,quiet,35
62,3,4,6,5,6,4,4,spatial,quiet,32
63,3,6,6,4,7,6,5,spatial,quiet,37
64,1,3,3,4,5,5,2,spatial,quiet,23
1,6,4,7,2,3,2,3,spatial,steady,27
2,1,7,6,5,7,4,4,spatial,steady,34
3,7,9,7,8,12,12,8,spatial,steady,63
4,1,3,5,3,4,3,3,spatial,steady,22
5,1,3,3,3,8,10,8,spatial,steady,36
6,1,3,8,10,15,12,10,spatial,steady,59
7,5,4,6,8,9,7,1,spatial,steady,40
8,13,14,15,13,13,12,10,spatial,steady,90
9,4,5,3,8,6,7,4,spatial,steady,37
10,1,1,1,1,3,2,1,spatial,steady,10
11,5,4,6,9,8,10,8,spatial,steady,50
12,0,0,1,0,0,1,0,spatial,steady,2
13,10,8,13,10,11,13,14,spatial,steady,79
14,5,4,6,8,11,9,6,spatial,steady,49
15,4,7,7,7,9,9,8,spatial,steady,51
16,1,2,5,5,11,10,7,spatial,steady,41
17,3,4,3,6,8,6,2,spatial,steady,32
18,10,11,11,14,16,16,13,spatial,steady,91
19,2,1,7,7,8,7,6,spatial,steady,38
20,9,10,11,12,14,12,15,spatial,steady,83
21,8,8,9,9,9,12,10,spatial,steady,65
22,0,1,2,4,7,7,4,spatial,steady,25
23,14,14,15,13,13,15,14,spatial,steady,98
24,0,0,2,4,11,12,7,spatial,steady,36
25,3,2,4,4,2,6,4,spatial,steady,25
26,0,0,0,1,3,4,1,spatial,steady,9
27,2,3,2,4,6,7,5,spatial,steady,29
28,3,7,6,8,8,4,4,spatial,steady,40
29,2,1,1,2,3,3,1,spatial,steady,13
30,6,12,10,12,13,13,12,spatial,steady,78
31,1,2,3,7,8,7,5,spatial,steady,33
32,2,5,5,6,9,9,7,spatial,steady,43
33,2,2,5,7,9,12,11,spatial,steady,48
34,4,6,7,5,8,6,5,spatial,steady,41
35,2,5,7,10,7,7,6,spatial,steady,44
36,0,1,2,1,2,2,3,spatial,steady,11
37,8,6,7,8,9,8,4,spatial,steady,50
38,11,10,15,13,12,9,8,spatial,steady,78
39,7,8,9,9,13,11,9,spatial,steady,66
40,4,7,5,8,8,7,8,spatial,steady,47
41,6,7,5,7,11,11,9,spatial,steady,56
42,3,4,5,7,6,7,7,spatial,steady,39
43,13,10,10,14,13,12,7,spatial,steady,79
44,9,4,9,8,8,7,4,spatial,steady,49
45,6,7,6,10,11,11,9,spatial,steady,60
46,4,6,6,7,10,9,8,spatial,steady,50
47,6,9,7,4,7,8,7,spatial,steady,48
48,0,2,5,5,5,5,3,spatial,steady,25
49,8,10,9,14,12,12,11,spatial,steady,76
50,3,6,5,8,12,9,11,spatial,steady,54
51,0,0,1,1,1,1,0,spatial,steady,4
52,4,6,3,6,7,5,4,spatial,steady,35
53,7,7,10,7,7,8,7,spatial,steady,53
54,0,1,1,1,1,1,1,spatial,steady,6
55,7,7,9,10,14,13,13,spatial,steady,73
56,5,9,7,9,11,8,8,spatial,steady,57
57,3,4,3,4,5,6,3,spatial,steady,28
58,11,14,14,12,16,15,14,spatial,steady,96
